
 File: PhaseCurve_i<84_e<81.dat
 Created at 2024-11-09 at 16:27:05
 Created with CreateTable_PhaseCurve.py

 RF = Radiance Factor
 dAverage RF = Standard deviation of average RF

 Radiance Scaling Factor from image header label RADIANCE_SCALING_FACTOR

 Incidence angle < 84˚
 Emission angle < 81˚

 Iterative removal of outliers at the 3-sigma level with a > 1% change in average value
 Note: median values are calculated after iterative outlier removal!

 73 orbits with a total of 1374 images

    Image          phase angle   Average RF  dAverage RF     Q1 RF  Median RF  Q3 RF   # iterations   Radiance Scaling Factor    # valid data points
                       (˚)                                                                              W/m2/ster/micron/DN
C_END
 V2781_0064_UV2       69.92         0.590      0.1044        0.506    0.585    0.656        1               0.07738                       61138
 V0427_0028_UV2       70.29         0.610      0.1223        0.538    0.586    0.649        1               0.09673                      104048
 V0427_0027_UV2       70.34         0.610      0.1226        0.538    0.586    0.649        1               0.09673                      103292
 V0427_0026_UV2       70.39         0.610      0.1226        0.539    0.586    0.648        1               0.09673                      102491
 V0427_0025_UV2       70.45         0.610      0.1225        0.539    0.586    0.648        1               0.09673                      101673
 V0427_0024_UV2       70.50         0.610      0.1226        0.539    0.586    0.647        1               0.09673                      100854
 V0424_0132_UV2       70.65         0.514      0.1501        0.392    0.480    0.612        1               0.09673                      162103
 V0424_0131_UV2       70.67         0.516      0.1509        0.394    0.482    0.616        1               0.09673                      161056
 V0424_0130_UV2       70.68         0.518      0.1515        0.396    0.484    0.619        1               0.09673                      159971
 V0424_0129_UV2       70.70         0.520      0.1519        0.398    0.486    0.621        1               0.09673                      158936
 V0424_0128_UV2       70.72         0.521      0.1523        0.399    0.487    0.624        1               0.09673                      157897
 V0424_0124_UV2       70.80         0.528      0.1540        0.406    0.494    0.634        1               0.09673                      153523
 V0424_0123_UV2       70.82         0.530      0.1545        0.407    0.495    0.636        1               0.09673                      152569
 V0427_0020_UV2       70.84         0.610      0.1226        0.541    0.587    0.645        1               0.09673                       95769
 V0424_0122_UV2       70.84         0.531      0.1547        0.408    0.496    0.639        1               0.09673                      151671
 V0424_0121_UV2       70.86         0.533      0.1555        0.410    0.498    0.642        1               0.09673                      150740
 V0424_0120_UV2       70.88         0.535      0.1560        0.411    0.499    0.645        1               0.09673                      149848
 V0427_0019_UV2       70.90         0.612      0.1230        0.543    0.589    0.648        1               0.09673                       94968
 V0427_0018_UV2       70.96         0.612      0.1232        0.543    0.589    0.648        1               0.09673                       94141
 V0424_0116_UV2       70.98         0.542      0.1575        0.416    0.506    0.654        1               0.09673                      146106
 V0424_0115_UV2       71.00         0.544      0.1581        0.418    0.508    0.658        1               0.09673                      145259
 V2781_0068_UV2       71.01         0.579      0.1056        0.492    0.573    0.649        1               0.07738                       59186
 V0424_0114_UV2       71.02         0.545      0.1582        0.419    0.509    0.659        1               0.09673                      144448
 V0427_0017_UV2       71.02         0.612      0.1232        0.543    0.590    0.648        1               0.09673                       93267
 V0424_0113_UV2       71.04         0.548      0.1589        0.420    0.512    0.662        1               0.09673                      143653
 V0424_0112_UV2       71.06         0.550      0.1593        0.422    0.513    0.665        1               0.09673                      142852
 V0427_0016_UV2       71.08         0.612      0.1231        0.543    0.590    0.647        1               0.09673                       92475
 V0424_0108_UV2       71.16         0.556      0.1604        0.427    0.520    0.675        1               0.09673                      139538
 V0424_0107_UV2       71.18         0.557      0.1603        0.427    0.521    0.676        1               0.09673                      138771
 V0424_0106_UV2       71.21         0.559      0.1605        0.429    0.523    0.679        1               0.09673                      138012
 V0424_0105_UV2       71.23         0.561      0.1607        0.430    0.525    0.682        1               0.09673                      137275
 V0424_0104_UV2       71.25         0.562      0.1606        0.431    0.526    0.683        1               0.09673                      136527
 V0424_0100_UV2       71.35         0.568      0.1604        0.435    0.532    0.692        1               0.09673                      133369
 V0424_0099_UV2       71.38         0.570      0.1602        0.436    0.534    0.693        1               0.09673                      132672
 V0424_0098_UV2       71.40         0.571      0.1601        0.437    0.535    0.695        1               0.09673                      131970
 V0424_0097_UV2       71.42         0.572      0.1601        0.438    0.537    0.696        1               0.09673                      131264
 V0424_0096_UV2       71.45         0.574      0.1600        0.439    0.539    0.698        1               0.09673                      130583
 V0424_0092_UV2       71.55         0.580      0.1598        0.443    0.546    0.705        1               0.09673                      127660
 V0424_0091_UV2       71.58         0.582      0.1600        0.445    0.548    0.708        1               0.09673                      127019
 V0424_0090_UV2       71.60         0.583      0.1600        0.446    0.550    0.710        1               0.09673                      126372
